Camp Name,Description,Ages,Min Age,Max Age,Price/Week,Price Min,Price Max,Hours,Drop Off,Pick Up,Indoor/Outdoor,Food Provided,Extended Care,Extended Care Cost,Sibling Discount,Multi-Week Discount,Swim Requirement,Transport,Refund Policy,Contact Phone,Contact Email,Address,Website,2026 Reg Date,Reg Status,Summer Dates,Weeks Available,Staff Ratio,Scholarships Available,Certifications,Category,Notes,Last Updated
"Lobster Jo's Beach Camp","Beach day camp with surfing, boogie boarding, sandcastles, beach games, arts & crafts. Color-coded rash guards indicate swim levels.",5-13,5,13,$360-450,360,450,9am-3pm,9:00am,3:00pm,Outdoor (East Beach),No - bring lunch,Half-day add-on 12-3pm available,$90 half-day,Unknown,Unknown,Yes - swim test Mondays,No (escort from other camps available),"SB Parks & Rec policy: 15+ days 90%, 5-14 days 50%, <5 days none",(831) 594-9158,lobsterjos@gmail.com,"East Beach, Santa Barbara",lobsterjosbeachcamp.com,Rolling (fills fast),Open,June-August,10+,1:7,Unknown,CPR/First Aid,Beach/Surf,"Rash guards $25. Color-coded by swim level.",2026-01-03
"SB Parks & Recreation","City-run camps: Jr Lifeguards, LEGO, Basketball, Art, Ocean Explorers, Nature Camp, Theater, Pickleball, Volleyball, Skate Camp. 15+ options.",5-17,5,17,$195-420,195,420,Varies by camp,Varies,Varies,Varies by camp,No - bring lunch,"Yes - some camps; aftercare $25/day",$25/day,No,No,Varies (Jr Lifeguards requires swim),No,"15+ days 90%, 5-14 days 50%, <5 days none; medical 90%",(805) 564-5418,Camps@SantaBarbaraCA.gov,"620 Laguna Street, Santa Barbara",sbparksandrec.santabarbaraca.gov,Feb 3 at 9am,Opens Feb 3,June-August,10+,Varies,Yes - PARC Foundation,Varies,Multi-Activity,"Fills quickly - set up account early. Multiple camp types available.",2026-01-03
"UCSB Day Camp","University-run camp with swimming, gymnastics, adventure ropes course, arts & crafts, games, movies. Uses UCSB campus facilities. Themed weeks.",5-14,5,14,$305-335,305,335,8:15am-5:15pm,8:15am,5:15pm,Both (UCSB campus),No - bring lunch,Yes - included in price,Included,"$15 off per additional sibling (same session, full-day only)",Unknown,No (pool time included),No,"90% if 3+ months prior; illness $25/day refund with doctor note",(805) 893-3913,camps@recreation.ucsb.edu,"UCSB Campus, Santa Barbara",recreation.ucsb.edu/youth-programs/summer-day-camp,Now Open,Open - Early bird available,June 16 - Aug 15 2025,9,Varies,Unknown,CPR/First Aid,Multi-Activity,"Early registration $305/week, Regular $335/week. Beach 'n Surf combo available ages 9-15. Jr Counselor program available.",2026-01-03
"Peak2Pacific","Outdoor adventure: hiking, bouldering, kayaking, surfing, sailing, marine biology, nature art. PACIFIC (beach) and PEAK (mountains) programs.",3-18,3,18,$375-425,375,425,9am-3pm,9:00am,3:00pm,Both (Stevens Park & West Beach/Harbor),No - bring lunch,"Yes - Early Care 8am, After Care 4pm",Unknown,Unknown,Unknown,No (offers both land & water programs),No,Unknown,(805) 689-8326,peak2pacific@gmail.com,"West Beach / SB Harbor",peak2pacific.com,Rolling,Open,June-August,11,Unknown,Unknown,Unknown,Outdoor/Adventure,"LIT (13-14) and CIT (15-18) leadership programs available.",2026-01-03
"Wilderness Youth Project","Small-group nature mentoring in creeks, beaches, and open spaces. Builds confidence, problem-solving, nature connection. Van transport to wilderness.",6-12,6,12,$425-650,425,650,9am-4pm,9:00am,4:00pm,Outdoor (various wilderness areas),No - bring lunch,No,N/A,"No (but 76% receive scholarships, 6-tier sliding scale)",No (max 3 weeks/child),No,Yes - 8 or 15-passenger vans,"15+ days 90% minus $30 deposit; 7-14 days 50%; <7 days none",(805) 964-8096,info@wyp.org,"5386 Hollister Ave Suite D, Goleta",wyp.org,Feb 12-19 (lottery),Lottery Feb 12-19,June-August,Limited,Small group,Yes - 76% receive scholarships,Unknown,Nature/Outdoor,"Weighted lottery prioritizes returning families & DEI. Results announced ~2.5 weeks after. Sliding scale pricing.",2026-01-03
"Santa Barbara Zoo Camp","Animal-focused camp with behind-the-scenes visits, animal encounters, hands-on science, crafts, songs, skits. Half and full day options.",3-12,3,12,$300-400,300,400,Half: 9am-12pm; Full: 9am-3pm,9:00am,12pm or 3pm,Outdoor (Zoo grounds),Snacks - bring lunch for full day,No,N/A,Unknown,Unknown,No,No,Must cancel in writing; 15+ days 90%; 7-14 days 50%; <7 days none,(805) 962-5339,education@sbzoo.org,"500 Niños Dr, Santa Barbara",sbzoo.org/zoo-camp,Jan 12 at 10am,Opens Jan 12 2026,June 15 - Aug 21 2026,10,1:10,Yes - via PAL,Unknown,Animals/Zoo,"Member pricing: $300-350. Non-member: $350-400. Spring, Winter, Fall sessions also available.",2026-01-03
"YMCA Summer Camp","Traditional day camp with art, STEM, sports, outdoor recreation, field trips. Weekly themes. ACA accredited.",2.5-18,3,18,Varies by location,200,400,8:30am-5pm,8:30am,5:00pm,Both,No - bring lunch,"Yes - drop-off 8:30am, pick-up 4:30-5:30pm",Included,"Unknown (financial assistance available)",Unknown,No,No,Unknown,"(805) 687-7727 (SB); (805) 969-3288 (Montecito)",info@ciymca.org,"36 Hitchcock Way (SB); 591 Santa Rosa Ln (Montecito)",www.ciymca.org/summer-camp,Feb 1,Opens Feb 1,June-August,10+,Unknown,Yes - financial assistance,ACA Accredited,Multi-Activity,"Multiple locations: SB, Montecito. Financial assistance available.",2026-01-03
"Girls Inc. of Greater Santa Barbara","Pro-girl summer camp with STEM, art, sports, theater, cooking, woodshop themes. Separate elementary and teen programs.",5-17,5,17,$200-345,200,345,Unknown,Unknown,Unknown,Both,Unknown,Unknown,Unknown,No (gymnastics); financial aid for CAMP IGNITE,Unknown,No,No,Unknown,"(805) 963-4757 x2 (elem); (805) 730-0508 (teens)",info@girlsincsb.org,"4973 Hollister Ave, Goleta",girlsincsb.org/programs/elementary,Contact for date,Contact for info,June-August,Unknown,Unknown,Yes - financial aid,Unknown,Multi-Activity,"TK-6 $280/week, Teen $200/week, Gymnastics $345/week. Girls only.",2026-01-03
"MOXI Museum Camp","STEM/STEAM day camps at interactive science museum. Hands-on activities in science, technology, engineering, arts, and math.",5-12,5,12,$325-375,325,375,9am-3pm (extended to 5pm),9:00am,3:00pm or 5:00pm,Indoor (museum),"Snacks provided; lunch at nearby parks","Yes - Extended day to 5pm",$100/week,Unknown (members get discounts),Unknown,No,No,"1+ month 90%, 2-4 weeks 50%, <2 weeks none",(805) 770-5000,camps@moxi.org,"125 State Street, Santa Barbara",moxi.org/programs/for-families/camps/,Rolling,Open,June-August,8+,16 campers max,Unknown,CPR certified,Science/STEM,"Member discounts available. 16 campers per session max.",2026-01-03
"SB Botanic Garden","Nature-based camps exploring 78-acre garden. Age-specific themes, nature science, outdoor exploration. Two camp shirts provided.",5-12,5,12,$370,370,370,9am-3pm,9:00am,3:00pm,Outdoor (78-acre garden),Snacks provided,"Yes - Extended day 3-5pm",$100/week,No,No,No,No,"15+ days refund minus 10% admin; illness prorated up to 2 days",(805) 682-4726 x161,camp@sbbotanicgarden.org,"1212 Mission Canyon Road, Santa Barbara",sbbotanicgarden.org,Members Mar 4; Public Mar 18,Members early access,June-August,8+,1:8,Unknown,Unknown,Nature/Outdoor,"Member early access Mar 4. Public Mar 18. Two camp shirts included.",2026-01-03
"Nature Rangers","Nature immersion with games, problem-solving quests, crafts, science experiments. Focus on confidence, resilience, nature connection.",5-14,5,14,$320-400,320,400,9am-2pm (aftercare to 4pm),9:00am,2:00pm or 4:00pm,Outdoor (Stow Grove/Ellwood),No - bring lunch,"Yes - 2-hour aftercare available",Unknown,Unknown,Unknown,No,No,Unknown,(805) 895-2110,registrar@nature-rangers.org,"Various locations in Goleta/SB",naturerangers.org/camp/,Rolling,Open,June-August,8+,1:6 max,Unknown,Unknown,Nature/Outdoor,"Max 12 kids per session. Small group focus.",2026-01-03
"Camp Haverim","Jewish day camp with swimming, sports, arts, music, field trips, and Judaic enrichment. Celebrates Shabbat. Open to everyone.",5-16,5,16,$800-1600,400,430,"9am-3pm (2-week sessions)",9:00am,3:00pm,Both,Unknown,Unknown,Unknown,"Yes - $50 off one sibling (2-week sessions)","Yes - $100 off all 4 weeks",Unknown,Yes - bus available,Unknown,(805) 957-1115,See website,"Various locations (TBD for 2026)",camphaverim.org,Rolling (early bird by Jun 15),Open,June-July,4 (2-week sessions),Unknown,Yes - apply by Mar 31,Unknown,Multi-Activity,"$800-860 for 2 weeks, $1600 for 4 weeks. CIT/JC leadership path available.",2026-01-03
"Art Explorers","Visual arts camps: drawing, painting, clay, sewing, cooking, movie making, digital arts. Nine weekly themed camps. Artist-quality materials.",5-14,5,14,$299+,299,350,9am-3pm,9:00am,3:00pm,Indoor (Vieja Valley School 2026),No - bring lunch,"Yes - aftercare 3:30-5pm",$12/day,"Yes - $10 off sibling","Yes - $10 off multi-camp",No,No,Unknown,(805) 570-5599,ozwicke@artexplorerssantabarbara.org,"Vieja Valley School, 434 Nogal Dr (2026)",terrificscientific.org,Rolling (fills fast),Open,June-August,9,Unknown,Unknown,Unknown,Art,"Early bird $25 off Feb 9-23. Projects never repeat. Same org as Terrific Scientific.",2026-01-03
"Terrific Scientific","STEAM camps: science experiments, engineering, technology, robotics. 65 different themed camps. Same org as Art Explorers.",5-14,5,14,$299+,299,350,8:30am-3:30pm,8:30am,3:30pm,Indoor (Vieja Valley School 2026),No - bring lunch,"Yes - aftercare 3:30-5pm",$12/day,"Yes - $10 off sibling","Yes - $10 off multi-camp",No,No,Unknown,(805) 570-5599,ozwicke@terrificscientific.org,"Vieja Valley School, 434 Nogal Dr (2026)",terrificscientific.org,Rolling (fills fast),Open,June-August,9,Unknown,Unknown,Unknown,Science/STEM,"Early bird $25 off Feb 9-23. 65 different STEAM camps available.",2026-01-03
"Santa Barbara Museum of Art Camp","Museum art camps with drawing, painting, printmaking, ceramics, textiles. Visits to museum galleries for inspiration from original artworks.",5-9,5,9,$300-350,300,350,TBD,TBD,TBD,Indoor (museum),Unknown,Unknown,Unknown,Unknown,Unknown,No,No,"4+ weeks full refund; 2-4 weeks credit; <2 weeks none",(805) 963-4364,communityprograms@sbma.net,"1130 State Street, Santa Barbara",sbma.net/learn/kidsfamilies/summer-camp-2025,Rolling,Open,June-August,6+,Unknown,Unknown,Unknown,Art,"Teaching Artists staff. Member pricing $300, Non-member $350.",2026-01-03
