Camp Name,Description,Ages,Price/Week,Hours,Indoor/Outdoor,Food Provided,Extended Care,Sibling Discount,Multi-Week Discount,Swim Requirement,Transport,Refund Policy,Contact Phone,Contact Email,Address,Website,2025 Reg Date,Notes
"Lobster Jo's Beach Camp","Beach day camp with surfing, boogie boarding, sandcastles, beach games, arts & crafts. Color-coded rash guards indicate swim levels.",5-13,$360-450,9am-3pm,Outdoor (East Beach),No - bring lunch,Half-day add-on 12-3pm available,Unknown,Unknown,"Yes - swim test Mondays",No (escort from other camps available),"SB Parks & Rec policy: 15+ days 90%, 5-14 days 50%, <5 days none",(831) 594-9158,lobsterjos@gmail.com,"East Beach, Santa Barbara",lobsterjosbeachcamp.com,Rolling (fills fast),"1:7 ratio. CPR/First Aid certified. Rash guards $25."
"SB Parks & Recreation","City-run camps: Jr Lifeguards, LEGO, Basketball, Art, Ocean Explorers, Nature Camp, Theater, Pickleball, Volleyball, Skate Camp. 15+ options.",5-17,$195-420,Varies by camp,Varies by camp,No - bring lunch,"Yes - some camps; aftercare $25/day",No,No,Varies (Jr Lifeguards requires swim),No,"15+ days 90%, 5-14 days 50%, <5 days none; medical 90%",(805) 564-5418,Camps@SantaBarbaraCA.gov,"620 Laguna Street, Santa Barbara",sbparksandrec.santabarbaraca.gov,Feb 3 at 9am,"Scholarships via PARC Foundation. Fills quickly - set up account early."
"UCSB Day Camp","University-run camp with swimming, gymnastics, adventure ropes course, arts & crafts, games, movies. Uses UCSB campus facilities.",5-14,$305+,8:15am-5:15pm (extended included),Both (UCSB campus),No - bring lunch,Yes - included in price,"$15 off per additional sibling (same session, full-day only)",Unknown,No (pool time included),No,"90% if 3+ months prior; illness $25/day refund with doctor note",(805) 893-3913,camps@recreation.ucsb.edu,"UCSB Campus, Santa Barbara",recreation.ucsb.edu/youth-programs/summer-day-camp,Rolling (early bird deadlines per session),"June 16 - Aug 15. Beach 'n Surf combo available ages 9-15."
"Peak2Pacific","Outdoor adventure: hiking, bouldering, kayaking, surfing, sailing, marine biology, nature art. PACIFIC (beach) and PEAK (mountains) programs.",3-18 (LIT/CIT programs),$375-425,9am-3pm,Both (Stevens Park & West Beach/Harbor),No - bring lunch,"Yes - Early Care 8am, After Care 4pm",Unknown,Unknown,No (offers both land & water programs),No,Unknown,(805) 689-8326,peak2pacific@gmail.com,"West Beach / SB Harbor",peak2pacific.com,Rolling,"11 sessions June-Aug. LIT (13-14) and CIT (15-18) leadership programs."
"Wilderness Youth Project","Small-group nature mentoring in creeks, beaches, and open spaces. Builds confidence, problem-solving, nature connection. Van transport to wilderness.",6-12,$425-650 (sliding scale),9am-4pm,Outdoor (various wilderness areas),No - bring lunch,No,"No (but 76% receive scholarships, 6-tier sliding scale)",No (max 3 weeks/child),No,Yes - 8 or 15-passenger vans,"15+ days 90% minus $30 deposit; 7-14 days 50%; <7 days none",(805) 964-8096,info@wyp.org,"5386 Hollister Ave Suite D, Goleta",wyp.org,Feb 12-19 (lottery),"Weighted lottery prioritizes returning families & DEI. Results announced ~2.5 weeks after."
"Santa Barbara Zoo Camp","Animal-focused camp with behind-the-scenes visits, animal encounters, hands-on science, crafts, songs, skits. Half and full day options.",3-12,"$350-400 ($300-350 members)",Half: 9am-12pm; Full: 9am-3pm,Outdoor (Zoo grounds),Snacks - bring lunch for full day,No,Unknown,Unknown,No,No,"Must cancel in writing",(805) 962-5339,education@sbzoo.org,"500 Niños Dr, Santa Barbara",sbzoo.org/zoo-camp,Jan 12 at 10am,"1:10 ratio. Scholarships via PAL. Specialty camps in summer."
"YMCA Summer Camp","Traditional day camp with art, STEM, sports, outdoor recreation, field trips. Weekly themes. ACA accredited.",2.5-18,Varies by location,8:30am-5pm,Both,No - bring lunch,"Yes - drop-off 8:30am, pick-up 4:30-5:30pm","Unknown (financial assistance available)",Unknown,No,No,Unknown,(805) 687-7727 (SB); (805) 969-3288 (Montecito),info@ciymca.org,"36 Hitchcock Way (SB); 591 Santa Rosa Ln (Montecito)",ciymca.org/summer-camp,Feb 1,"Multiple locations: SB, Montecito. Financial assistance available."
"Girls Inc. of Greater Santa Barbara","Pro-girl summer camp with STEM, art, sports, theater, cooking, woodshop themes. Separate elementary and teen programs.",TK-6 (elementary); 7-12 (teens),$280-345,Unknown,Both,Unknown,Unknown,No (gymnastics); financial aid for CAMP IGNITE,Unknown,No,No,Unknown,(805) 963-4757 x2 (elem); (805) 730-0508 (teens),info@girlsincsb.org,"4973 Hollister Ave, Goleta",girlsincsb.org/programs/elementary,Contact for date,"TK-6 $280/week, Teen $200/week, Gymnastics $345/week (2025 prices)."
"MOXI Museum Camp","STEM/STEAM day camps at interactive science museum. Hands-on activities in science, technology, engineering, arts, and math.",K-6 (entering),$325-375,9am-3pm (extended to 5pm),Indoor (museum),"Snacks provided; lunch at nearby parks","Yes - Extended day to 5pm $100/week",Unknown (members get discounts),Unknown,No,No,"1+ month 90%, 2-4 weeks 50%, <2 weeks none",(805) 770-5000,camps@moxi.org,"125 State Street, Santa Barbara",moxi.org/programs/for-families/camps/,Rolling,"16 campers/session. CPR-certified counselors."
"SB Botanic Garden","Nature-based camps exploring 78-acre garden. Age-specific themes, nature science, outdoor exploration. Two camp shirts provided.",5-12,$370,9am-3pm,Outdoor (78-acre garden),Snacks provided,"Yes - Extended day 3-5pm $100/week",No,No,No,No,"15+ days refund minus 10% admin; illness prorated up to 2 days",(805) 682-4726 x161,camp@sbbotanicgarden.org,"1212 Mission Canyon Road, Santa Barbara",sbbotanicgarden.org,Members Mar 4; Public Mar 18,"1:8 ratio. Member early access."
